Symbol,size,p,price,timestamp
ASH,0,"(0, 15]",11.128526645768131,3
ASH,0,"(60, 75]",74.6081504702194,3
ASH,0,"(90, 105]",97.54350051177066,3
ASH,1,"(0, 15]",8.67130026496991,1417
ASH,1,"(15, 30]",21.061615437416098,1569
ASH,1,"(30, 45]",36.52260995969029,1022
ASH,1,"(45, 60]",53.16105939801107,955
ASH,1,"(60, 75]",67.73319659847127,1191
ASH,1,"(75, 90]",82.04337746743428,1286
ASH,1,"(90, 105]",94.22130501535317,400
ASH,2,"(0, 15]",8.323005255132555,448
ASH,2,"(15, 30]",21.891006204351157,591
ASH,2,"(30, 45]",37.69354000432592,478
ASH,2,"(45, 60]",54.292943083900894,559
ASH,2,"(60, 75]",67.35217185618635,438
ASH,2,"(75, 90]",81.72086526203756,431
ASH,2,"(90, 105]",94.31944382636388,207
ASH,3,"(0, 15]",8.075946121997,291
ASH,3,"(15, 30]",21.59930074015954,386
ASH,3,"(30, 45]",36.65291580550139,229
ASH,3,"(45, 60]",54.02883448345976,346
ASH,3,"(60, 75]",67.94835042065996,253
ASH,3,"(75, 90]",81.69614943975589,197
ASH,3,"(90, 105]",94.91995344989557,73
ASH,4,"(0, 15]",8.525176255048079,209
ASH,4,"(15, 30]",21.412731081852368,349
ASH,4,"(30, 45]",37.81882575719386,224
ASH,4,"(45, 60]",53.508501837531234,210
ASH,4,"(60, 75]",67.1396784805566,175
ASH,4,"(75, 90]",81.35961172951085,132
ASH,4,"(90, 105]",95.06663517308354,78
ASH,5,"(0, 15]",9.26858421129297,249
ASH,5,"(15, 30]",22.309686371750217,386
ASH,5,"(30, 45]",37.45704410985785,302
ASH,5,"(45, 60]",51.84997775662741,353
ASH,5,"(60, 75]",68.26376647581546,434
ASH,5,"(75, 90]",81.3528578315889,191
ASH,5,"(90, 105]",94.84640231825496,77
ASH,6,"(0, 15]",8.248631229122251,126
ASH,6,"(15, 30]",21.825638337090584,209
ASH,6,"(30, 45]",37.07422962310911,185
ASH,6,"(45, 60]",53.64932300094802,144
ASH,6,"(60, 75]",66.9969731660462,186
ASH,6,"(75, 90]",81.58324169529742,108
ASH,6,"(90, 105]",94.41920938338548,37
ASH,7,"(0, 15]",8.72725180166041,184
ASH,7,"(15, 30]",21.846328809395324,173
ASH,7,"(30, 45]",36.35182030524926,78
ASH,7,"(45, 60]",54.84673421979149,112
ASH,7,"(60, 75]",67.11995194134866,116
ASH,7,"(75, 90]",81.5947389379606,111
ASH,7,"(90, 105]",95.63367451381785,40
ASH,8,"(0, 15]",7.854847104223131,115
ASH,8,"(15, 30]",22.645255948771368,84
ASH,8,"(30, 45]",37.27438263410685,94
ASH,8,"(45, 60]",54.37455225968148,110
ASH,8,"(60, 75]",67.86945059694398,86
ASH,8,"(75, 90]",81.8737431635594,77
ASH,8,"(90, 105]",95.48591974385222,39
ASH,9,"(0, 15]",8.601716162116107,137
ASH,9,"(15, 30]",21.516156241297836,76
ASH,9,"(30, 45]",35.78779322537494,74
ASH,9,"(45, 60]",53.51853716823102,93
ASH,9,"(60, 75]",68.11401581852253,83
ASH,9,"(75, 90]",82.48849905587126,80
ASH,9,"(90, 105]",95.15392488780415,52
ASH,10,"(0, 15]",8.500845632105268,603
ASH,10,"(15, 30]",21.422402800280075,426
ASH,10,"(30, 45]",36.67202254713206,206
ASH,10,"(45, 60]",53.443757001072555,293
ASH,10,"(60, 75]",67.68071270981083,432
ASH,10,"(75, 90]",81.45330048834481,303
ASH,10,"(90, 105]",94.95173270946049,140
ASH,11,"(0, 15]",7.930184397891377,75
ASH,11,"(15, 30]",21.477702144089488,84
ASH,11,"(30, 45]",36.16548048006074,35
ASH,11,"(45, 60]",53.774655389106925,71
ASH,11,"(60, 75]",67.08931884184241,78
ASH,11,"(75, 90]",81.01179336800203,62
ASH,11,"(90, 105]",94.66200881135691,46
ASH,12,"(0, 15]",8.722241652040884,89
ASH,12,"(15, 30]",22.063674450124896,67
ASH,12,"(30, 45]",36.50269147551476,45
ASH,12,"(45, 60]",53.51948834030091,63
ASH,12,"(60, 75]",66.91109342262315,64
ASH,12,"(75, 90]",80.5817805129258,50
ASH,12,"(90, 105]",95.38553394745827,24
ASH,13,"(0, 15]",8.751852854577653,74
ASH,13,"(15, 30]",22.764893442110566,66
ASH,13,"(30, 45]",36.356393739184625,31
ASH,13,"(45, 60]",53.54338482820964,56
ASH,13,"(60, 75]",66.40994965052326,58
ASH,13,"(75, 90]",81.01504573850598,40
ASH,13,"(90, 105]",94.61293971879549,19
ASH,14,"(0, 15]",8.721560483336322,61
ASH,14,"(15, 30]",22.194183259416466,78
ASH,14,"(30, 45]",36.45681927808787,30
ASH,14,"(45, 60]",53.69639315905992,53
ASH,14,"(60, 75]",67.82537327600886,53
ASH,14,"(75, 90]",83.52575842293895,38
ASH,14,"(90, 105]",95.28883653040135,47
ASH,15,"(0, 15]",9.00760870098385,87
ASH,15,"(15, 30]",22.26829773509054,174
ASH,15,"(30, 45]",37.70215879545113,120
ASH,15,"(45, 60]",52.78776298680818,66
ASH,15,"(60, 75]",67.29003354843678,62
ASH,15,"(75, 90]",81.64106490022877,50
ASH,15,"(90, 105]",94.92813276794858,28
ASH,16,"(0, 15]",9.001329962170725,50
ASH,16,"(15, 30]",22.201361808824757,59
ASH,16,"(30, 45]",35.236331275402414,21
ASH,16,"(45, 60]",53.007173000399604,34
ASH,16,"(60, 75]",67.6491003790266,28
ASH,16,"(75, 90]",80.00777619920053,28
ASH,16,"(90, 105]",94.98464687819857,14
ASH,17,"(0, 15]",10.045384075225671,54
ASH,17,"(15, 30]",21.448565552260984,35
ASH,17,"(30, 45]",35.62980008732322,26
ASH,17,"(45, 60]",52.53601150082295,21
ASH,17,"(60, 75]",67.26137620335639,24
ASH,17,"(75, 90]",82.97803419536028,28
ASH,17,"(90, 105]",95.87194359149325,9
ASH,18,"(0, 15]",8.832688544998996,50
ASH,18,"(15, 30]",22.176294772534227,52
ASH,18,"(30, 45]",36.990940238037375,27
ASH,18,"(45, 60]",51.40500817389305,32
ASH,18,"(60, 75]",67.50029972850712,35
ASH,18,"(75, 90]",81.2793565194107,44
ASH,18,"(90, 105]",94.396110542477,20
ASH,19,"(0, 15]",9.399322778562576,37
ASH,19,"(15, 30]",20.54727422955291,39
ASH,19,"(30, 45]",38.530392060158555,31
ASH,19,"(45, 60]",54.40995562514646,35
ASH,19,"(60, 75]",67.28426746197012,40
ASH,19,"(75, 90]",83.17718837333913,25
ASH,19,"(90, 105]",95.98822927328558,12
ASH,20,"(0, 15]",7.956952165581022,151
ASH,20,"(15, 30]",21.111977116501443,266
ASH,20,"(30, 45]",37.33274387961432,226
ASH,20,"(45, 60]",54.3874913243128,302
ASH,20,"(60, 75]",66.52072441038844,141
ASH,20,"(75, 90]",81.93622174917249,81
ASH,20,"(90, 105]",95.03147912184328,49
ASH,21,"(0, 15]",7.076664912635376,30
ASH,21,"(15, 30]",20.3232148751924,34
ASH,21,"(30, 45]",37.41596079173759,17
ASH,21,"(45, 60]",54.38013270744367,20
ASH,21,"(60, 75]",66.82182523187345,29
ASH,21,"(75, 90]",83.2518018928565,24
ASH,21,"(90, 105]",95.8375980893893,3
ASH,22,"(0, 15]",7.079414838035556,36
ASH,22,"(15, 30]",23.119152738695394,38
ASH,22,"(30, 45]",37.13056565857516,33
ASH,22,"(45, 60]",54.157943552139166,31
ASH,22,"(60, 75]",67.33828839544788,42
ASH,22,"(75, 90]",82.59218581959007,22
ASH,22,"(90, 105]",96.72466734902765,10
ASH,23,"(0, 15]",10.331726119480932,33
ASH,23,"(15, 30]",21.26469134931008,34
ASH,23,"(30, 45]",35.86251233485596,11
ASH,23,"(45, 60]",54.64367316977349,18
ASH,23,"(60, 75]",65.32154624765153,22
ASH,23,"(75, 90]",82.04996261988113,8
ASH,23,"(90, 105]",94.52027399417369,13
ASH,24,"(0, 15]",9.037252233525175,35
ASH,24,"(15, 30]",21.687240207620455,29
ASH,24,"(30, 45]",35.64247657396169,17
