Country,Corrup,Gap
Algeria,34.6,10.0
Angola,19.4,9.925
Argentina,38.4,-3.0
Australia,77.8,3.25
Austria,75.8,4.5
Azerbaijan,29.0,12.75
Bahrain,41.6,-1.0
Bangladesh,26.2,16.5
Belgium,75.8,4.0
Benin,38.6,15.5
Botswana,61.2,19.0
Brazil,37.0,-2.25
Bulgaria,42.0,0.0
Burkina Faso,40.6,8.0
Burundi,19.8,4.775
Cambodia,20.6,12.5
Cameroon,25.6,7.25
Canada,81.0,1.75
Chile,67.4,0.0
China,39.6,-1.25
Colombia,36.8,5.25
Congo (DRC),20.4,11.75
Costa Rica,56.8,0.25
Cote d'Ivoire,34.4,12.75
Croatia,48.8,8.5
Cuba,47.2,-4.8
Czech Republic,56.6,3.825
Denmark,88.8,2.75
Dominican Republic,30.2,2.25
Ecuador,33.4,7.5
Egypt,34.4,18.0
El Salvador,35.4,11.5
Estonia,71.6,4.0
Ethiopia,34.6,5.5
Finland,87.0,2.25
France,70.0,5.0
Gabon,32.6,6.25
Germany,80.6,1.75
Ghana,42.4,13.0
Greece,46.2,6.75
Guatemala,27.4,12.0
Guinea,27.2,12.0
Honduras,29.0,9.0
Hong Kong,76.2,5.0
Hungary,46.8,3.0
India,40.0,13.75
Indonesia,37.6,4.25
Iran,28.0,4.0
Ireland,73.8,-4.25
Israel,61.6,1.5
Italy,49.2,9.25
Jamaica,42.2,1.625
Japan,73.2,10.25
Jordan,49.2,3.75
Kazakhstan,30.6,1.25
Kenya,26.8,15.5
Kuwait,42.0,0.75
Laos,28.4,4.225
Latvia,57.0,1.5
Lebanon,28.0,2.5
Liberia,33.0,11.0
Lithuania,59.2,2.5
Madagascar,25.4,3.75
Malawi,31.2,12.25
Malaysia,49.2,3.9
Mali,31.8,10.75
Mexico,29.4,6.75
Mongolia,37.0,-3.75
Morocco,39.4,16.0
Mozambique,26.4,7.225
Myanmar,27.6,12.75
Namibia,52.2,6.225
Nepal,30.4,15.5
Netherlands,82.6,4.25
New Zealand,88.8,0.0
Nicaragua,25.2,7.5
Niger,33.6,8.25
Nigeria,26.8,12.5
Oman,47.6,2.05
Pakistan,31.8,22.0
Panama,37.4,1.5
Papua New Guinea,27.6,6.85
Paraguay,28.6,1.0
Peru,35.8,16.0
Philippines,34.8,-4.5
Poland,60.6,5.0
Portugal,63.0,9.25
Qatar,63.8,1.9749999999999999
Romania,46.6,5.5
Russia,28.6,3.0
Rwanda,54.4,7.25
Saudi Arabia,49.8,-1.0
Senegal,44.8,6.25
Sierra Leone,30.4,7.0
Singapore,84.6,2.75
Slovakia,50.4,5.0
South Africa,43.8,5.5
South Korea,55.4,5.25
Spain,58.6,3.75
Sri Lanka,37.4,10.225
Sudan,14.8,5.9
Sweden,86.2,3.5
Switzerland,85.4,2.0
Taiwan,62.8,1.25
Tanzania,34.2,14.0
Thailand,36.4,5.75
Trinidad & Tobago,39.2,0.975
Tunisia,41.4,6.25
Turkey,40.6,10.0
UAE,69.6,-1.25
Uganda,26.0,7.75
Ukraine,29.6,6.75
United Kingdom,80.2,-2.25
United States,73.0,-0.25
Uruguay,71.2,-0.25
Uzbekistan,22.0,11.5
Venezuela,17.2,-2.0
Vietnam,33.8,8.25
Zambia,36.4,11.5
Zimbabwe,22.2,11.5
