Equipe ,Gênero ,Camp. ,De ,Para ,Camp. ,Camp. ,Outros nomes
AA Esmac Ananindeua,F,,2022,2022,1,,
AA Ponte Preta,F,,2019,2020,2,,
ABC FC,M,,2014,2023,4,,
Amazonas FC,M,Campeonato Brasileiro Série B,2024,2025,2,,
América (MG),F,Brasileirão Feminino Série A1,2024,2024,1,,
América FC (MG),M,,2014,2024,11,1,América FC (MG)
América FC (RN),M,,2014,2014,1,,América FC (RN)
Associação Acadêmica e Desportiva Vitória das Tabocas,F,,2019,2019,1,,AAD Vitória das Tabocas
Associação Atlética Ponte Preta,M,,2014,2024,11,0,
Associação Chapecoense de Futebol,M,Campeonato Brasileiro Série B,2014,2025,12,1,
Associação Desportiva Confiança,M,,2020,2021,2,,
Associação Desportiva Recreativa e Cultural Icasa,M,,2014,2014,1,,
Associação Ferroviária,F,Brasileirão Feminino Série A1,2019,2024,6,1,
Associação Ferroviária,M,Campeonato Brasileiro Série B,2025,2025,1,,
Associação Napoli Cacadorense,F,,2021,2021,1,,
Associação Portuguesa de Desportos,M,,2014,2014,1,,
Athletic Club,M,Campeonato Brasileiro Série B,2025,2025,1,,
Atlético Clube Goianiense,M,Campeonato Brasileiro Série B,2014,2025,12,1,
Avaí FC,F,Brasileirão Feminino Série A1,2019,2024,6,,Kindermann/Avaí
Avaí FC,M,Campeonato Brasileiro Série B,2014,2025,12,,
Boa Esporte Clube,M,,2014,2018,4,,
Botafogo de Futebol e Regatas,M,Campeonato Brasileiro Série A,2014,2025,12,3,
Botafogo FC,M,Campeonato Brasileiro Série B,2019,2025,5,,
Botafogo FR,F,Brasileirão Feminino Série A1,2021,2024,2,,
Brasília FC,M,,2015,2015,0,0,Brasilia FC
Brusque Futebol Clube,M,,2021,2024,3,,
CA Mineiro,F,Brasileirão Feminino Série A1,2022,2024,3,,
CA Paranaense,F,,2023,2023,1,,
Ceará SC,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Ceará SC,F,,2023,2023,1,,
Centro Sportivo Alagoano,M,,2018,2022,5,,
Club Athletico Paranaense,M,Campeonato Brasileiro Série B,2014,2025,12,0,
Clube Atlético Mineiro,M,Campeonato Brasileiro Série B,2014,2025,13,1,
Clube do Remo,M,Campeonato Brasileiro Série B,2021,2025,2,,
Clube Náutico Capibaribe,M,,2014,2022,7,,
Coritiba FC,M,Campeonato Brasileiro Série B,2014,2025,12,0,
CR Brasil,M,Campeonato Brasileiro Série B,2015,2025,11,,
CR Flamengo,M,Campeonato Brasileiro Série A,2014,2025,12,2,
CR Flamengo,F,Brasileirão Feminino Série A1,2019,2024,6,,
CR Vasco da Gama,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Cresspom,F,,2022,2022,1,,
Criciúma Esporte Clube,M,Campeonato Brasileiro Série B,2014,2025,10,0,
Cruzeiro EC,F,Brasileirão Feminino Série A1,2020,2024,5,,
Cruzeiro Esporte Clube,M,Campeonato Brasileiro Série A,2014,2025,12,2,
Cuiabá Esporte Clube,M,Campeonato Brasileiro Série B,2016,2025,7,0,
EC Bahia,F,,2021,2023,2,,
EC Vitória,F,,2019,2020,2,,
Esporte Clube Bahia,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Esporte Clube Iranduba da Amazônia,F,,2019,2020,2,,EC Iranduba
Esporte Clube Juventude,M,Campeonato Brasileiro Série A,2017,2025,8,,
Esporte Clube São Bento,M,,2018,2019,2,,
Esporte Clube Vitória,M,Campeonato Brasileiro Série A,2014,2025,11,1,
Figueirense FC,M,,2014,2020,7,0,
Fluminense FC,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Fluminense FC,F,Brasileirão Feminino Série A1,2024,2024,1,,
Fortaleza Esporte Clube,M,Campeonato Brasileiro Série A,2018,2025,8,1,
Foz Cataratas Futebol Clube,F,,2019,2019,1,,Foz Cataratas FC
Goiás Esporte Clube,M,Campeonato Brasileiro Série B,2014,2025,12,0,
Grêmio Esportivo Brasil,M,,2016,2021,6,,
Grêmio FBPA,F,Brasileirão Feminino Série A1,2020,2024,5,,
Grêmio Foot-Ball Porto Alegrense,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Grêmio Novorizontino,M,Campeonato Brasileiro Série B,2022,2025,4,,
Grêmio Osasco Audax,F,,2019,2020,2,,
Guarani FC,M,,2017,2024,8,,
Ituano FC,M,,2022,2024,3,,
Joinville Esporte Clube,M,,2014,2016,3,1,
Londrina Esporte Clube,M,,2016,2023,7,,
Luverdense Esporte Clube,M,,2014,2017,4,,
Macaé Esporte FC,M,,2015,2015,1,,
Minas ICESP,F,,2019,2021,3,,
Mirassol Futebol Clube,M,Campeonato Brasileiro Série A,2023,2025,3,,
Mogi Mirim Esporte Clube,M,,2015,2015,1,,
Oeste FC,M,,2014,2020,7,,
Operário Ferroviário Esporte Clube,M,Campeonato Brasileiro Série B,2019,2025,6,,
Paraná Clube,M,,2014,2020,7,,
Paysandu SC,M,Campeonato Brasileiro Série B,2015,2025,6,,
Real Ariquemes EC,F,,2023,2023,1,,
Real Brasília FC,F,Brasileirão Feminino Série A1,2021,2024,4,,
Red Bull Bragantino,F,Brasileirão Feminino Série A1,2022,2024,2,,
Red Bull Bragantino,M,Campeonato Brasileiro Série A,2014,2025,10,1,CA Bragantino
Sampaio Corrêa FC,M,,2014,2023,8,,
Santa Cruz FC (PE),M,,2014,2017,4,0,Santa Cruz FC
Santos FC,M,Campeonato Brasileiro Série A,2014,2025,12,1,
Santos FC,F,Brasileirão Feminino Série A1,2019,2024,6,,
São Francisco EC,F,,2019,2019,1,,
São José Esporte Clube,F,,2019,2022,4,,São José EC
São Paulo FC,F,Brasileirão Feminino Série A1,2020,2024,5,,
São Paulo FC,M,Campeonato Brasileiro Série A,2014,2025,12,0,
SC Corinthians Paulista,F,Brasileirão Feminino Série A1,2019,2024,6,5,
SC Corinthians Paulista,M,Campeonato Brasileiro Série A,2014,2025,12,2,
SC Internacional,F,Brasileirão Feminino Série A1,2019,2024,6,,
SC Internacional,M,Campeonato Brasileiro Série A,2014,2025,12,0,
SE Palmeiras,F,Brasileirão Feminino Série A1,2020,2024,5,,
SE Palmeiras,M,Campeonato Brasileiro Série A,2014,2025,12,4,
Sport Club do Recife,F,,2019,2019,1,,SC Recife
Sport Club do Recife,M,Campeonato Brasileiro Série A,2014,2025,12,0,
Tombense Futebol Clube,M,,2022,2023,2,,
Tupi Esporte Clube,M,,2016,2016,1,,Tupi FC
Vila Nova FC,M,Campeonato Brasileiro Série B,2014,2025,10,,
Volta Redonda FC,M,Campeonato Brasileiro Série B,2025,2025,1,,
